"","names","lat","lon","Koppen_Geiger","Topsoil_Organic_Carbon","Subsoil_Organic_Carbon","RockType","MinAge"
"1","US-Ha1",42.5378,-72.1715,26,0,0,NA,NA
"2","US-PFa",45.9459,-90.2723,26,1.1599999666214,1.1599999666214,NA,NA
"3","US-Ho1",45.2041,-68.7402,26,1.22640001773834,1.30499994754791,NA,NA
"4","US-NR1",40.0329,-105.5464,27,1.72090005874634,0.725000023841858,NA,NA
"5","US-WCr",45.8059,-90.0799,26,0.645829975605011,0.180350005626678,NA,NA
"6","US-MMS",39.3232,-86.4131,25,1.1599999666214,1.1599999666214,NA,NA
"7","CA-Cbo",44.31667,-79.9333,26,1.12489998340607,0.156810000538826,NA,NA
"8","US-Var",38.4133,-120.9507,8,0.870000004768372,0.870000004768372,NA,NA
"9","US-GLE",41.36653,-106.2399,27,0.617550015449524,0.435000002384186,NA,NA
"10","US-UMB",45.5598,-84.7138,26,NA,NA,NA,NA
"11","US-Los",46.0827,-89.9792,26,0.645829975605011,0.180350005626678,NA,NA
"12","US-Ton",38.4316,-120.96598,8,0.870000004768372,0.870000004768372,NA,NA
"13","US-Ne2",41.16487,-96.4701,25,2.02999997138977,1.06270003318787,NA,NA
"14","US-Ne1",41.16506,-96.47664,25,2.02999997138977,1.06270003318787,NA,NA
"15","US-Ne3",41.17967,-96.43965,25,2.02999997138977,1.06270003318787,NA,NA
"16","US-Wrc",45.8205,-121.9519,9,1.41129994392395,0.859640002250671,NA,NA
"17","US-Syv",46.242,-89.3477,26,0.645829975605011,0.180350005626678,NA,NA
"18","US-SRM",31.8214,-110.8661,6,0.220139995217323,0.144999995827675,NA,NA
"19","US-ARM",36.6058,-97.4888,14,1.1599999666214,0.705299973487854,NA,NA
"20","US-Me2",44.4523,-121.5574,18,1.45000004768372,0.578289985656738,NA,NA
"21","CA-TP1",42.66093611,-80.55951944,26,0.246329993009567,0.133980005979538,NA,NA
"22","CA-TP3",42.70681111,-80.34831389,26,1.60000002384186,1.60000002384186,NA,NA
"23","CA-TP4",42.710161,-80.357376,26,1.60000002384186,1.60000002384186,NA,NA
"24","US-Uaf",64.86627,-147.85553,27,17.3729991912842,1.74000000953674,NA,NA
"25","US-Wkg",31.7365,-109.9419,7,0.191780000925064,0.144999995827675,NA,NA
"26","US-NC2",35.803,-76.6685,14,58,12.5179996490479,NA,NA
"27","CA-Ca1",49.8673,-125.3336,15,1.8911999464035,0.926909983158112,NA,NA
"28","CA-Oas",53.62889,-106.19779,27,1.49129998683929,0.362309992313385,NA,NA
"29","CA-Ojp",53.91634,-104.69203,27,0.887790024280548,0.200000002980232,NA,NA
"30","CA-Man",55.87962,-98.48081,27,5.41270017623901,0.604499995708466,NA,NA
"31","US-MOz",38.7441,-92.2,25,0.725000023841858,0.191339999437332,NA,NA
"32","US-IB2",41.84062,-88.24103,25,1.18949997425079,0.435000002384186,NA,NA
"33","US-Bar",44.0646,-71.28808,26,1.58829998970032,0.425110012292862,NA,NA
"34","CA-Obs",53.98717,-105.11779,27,3.30629992485046,0.30281999707222,NA,NA
"35","US-Ivo",68.4865,-155.7503,19,3.48819994926453,4.6399998664856,NA,NA
"36","US-Whs",31.7438,-110.0522,7,0.870000004768372,0.870000004768372,NA,NA
"37","US-Ses",34.3349,-106.7442,5,0.144999995827675,0.144999995827675,NA,NA
"38","US-Seg",34.3623,-106.702,5,0.144999995827675,0.144999995827675,NA,NA
"39","US-Wjs",34.425489,-105.861545,7,0.46399998664856,0.46399998664856,NA,NA
"40","US-Vcp",35.864231,-106.596664,26,0.870000004768372,0.870000004768372,NA,NA
"41","US-Vcm",35.8884,-106.5321,27,0.870000004768372,0.870000004768372,NA,NA
"42","US-WBW",35.95877,-84.28743,14,0.725000023841858,0.725000023841858,NA,NA
"43","US-Bo1",40.0062,-88.2904,25,2.60999989509583,0.717209994792938,NA,NA
"44","US-IB1",41.8593,-88.22273,25,1.18949997425079,0.435000002384186,NA,NA
"45","US-Ro1",44.7143,-93.0898,25,2.02999997138977,2.02999997138977,NA,NA
"46","US-UMd",45.5625,-84.6975,26,NA,NA,NA,NA
